
Label=dB(v(8)) vs F
LabelX=F
LabelY=dB(v(8))
Data Point Count=1001
F,F,F,dB(v(8)),dB(v(8))
 1.0000000000000000E+000, 1.0000000000000000E+000, 0.0000000000000000E+000,-4.3435003757960700E+001, 0.0000000000000000E+000
 1.0209394837076800E+000, 1.0209394837076800E+000, 0.0000000000000000E+000,-4.3252719947721580E+001, 0.0000000000000000E+000
 1.0423174293933042E+000, 1.0423174293933042E+000, 0.0000000000000000E+000,-4.3070341160427716E+001, 0.0000000000000000E+000
 1.0641430182243161E+000, 1.0641430182243161E+000, 0.0000000000000000E+000,-4.2887863518671175E+001, 0.0000000000000000E+000
 1.0864256236170655E+000, 1.0864256236170655E+000, 0.0000000000000000E+000,-4.2705282992939800E+001, 0.0000000000000000E+000
 1.1091748152624010E+000, 1.1091748152624010E+000, 0.0000000000000000E+000,-4.2522595396137191E+001, 0.0000000000000000E+000
 1.1324003632355570E+000, 1.1324003632355570E+000, 0.0000000000000000E+000,-4.2339796377996571E+001, 0.0000000000000000E+000
 1.1561122421920988E+000, 1.1561122421920988E+000, 0.0000000000000000E+000,-4.2156881419315155E+001, 0.0000000000000000E+000
 1.1803206356517297E+000, 1.1803206356517297E+000, 0.0000000000000000E+000,-4.1973845826126770E+001, 0.0000000000000000E+000
 1.2050359403717976E+000, 1.2050359403717976E+000, 0.0000000000000000E+000,-4.1790684723567381E+001, 0.0000000000000000E+000
 1.2302687708123816E+000, 1.2302687708123816E+000, 0.0000000000000000E+000,-4.1607393049758905E+001, 0.0000000000000000E+000
 1.2560299636948749E+000, 1.2560299636948749E+000, 0.0000000000000000E+000,-4.1423965549438648E+001, 0.0000000000000000E+000
 1.2823305826560216E+000, 1.2823305826560216E+000, 0.0000000000000000E+000,-4.1240396767511115E+001, 0.0000000000000000E+000
 1.3091819229994071E+000, 1.3091819229994071E+000, 0.0000000000000000E+000,-4.1056681042406701E+001, 0.0000000000000000E+000
 1.3365955165464423E+000, 1.3365955165464423E+000, 0.0000000000000000E+000,-4.0872812499361693E+001, 0.0000000000000000E+000
 1.3645831365889245E+000, 1.3645831365889245E+000, 0.0000000000000000E+000,-4.0688785043536654E+001, 0.0000000000000000E+000
 1.3931568029453030E+000, 1.3931568029453030E+000, 0.0000000000000000E+000,-4.0504592353007929E+001, 0.0000000000000000E+000
 1.4223287871228196E+000, 1.4223287871228196E+000, 0.0000000000000000E+000,-4.0320227871680586E+001, 0.0000000000000000E+000
 1.4521116175877420E+000, 1.4521116175877420E+000, 0.0000000000000000E+000,-4.0135684802049667E+001, 0.0000000000000000E+000
 1.4825180851459532E+000, 1.4825180851459532E+000, 0.0000000000000000E+000,-3.9950956097878219E+001, 0.0000000000000000E+000
 1.5135612484362078E+000, 1.5135612484362078E+000, 0.0000000000000000E+000,-3.9766034456865142E+001, 0.0000000000000000E+000
 1.5452544395384136E+000, 1.5452544395384136E+000, 0.0000000000000000E+000,-3.9580912313100058E+001, 0.0000000000000000E+000
 1.5776112696993483E+000, 1.5776112696993483E+000, 0.0000000000000000E+000,-3.9395581829557969E+001, 0.0000000000000000E+000
 1.6106456351782701E+000, 1.6106456351782701E+000, 0.0000000000000000E+000,-3.9210034890565503E+001, 0.0000000000000000E+000
 1.6443717232149313E+000, 1.6443717232149313E+000, 0.0000000000000000E+000,-3.9024263094138071E+001, 0.0000000000000000E+000
 1.6788040181225599E+000, 1.6788040181225599E+000, 0.0000000000000000E+000,-3.8838257744460840E+001, 0.0000000000000000E+000
 1.7139573075084249E+000, 1.7139573075084249E+000, 0.0000000000000000E+000,-3.8652009844211165E+001, 0.0000000000000000E+000
 1.7498466886246566E+000, 1.7498466886246566E+000, 0.0000000000000000E+000,-3.8465510087097456E+001, 0.0000000000000000E+000
 1.7864875748520503E+000, 1.7864875748520503E+000, 0.0000000000000000E+000,-3.8278748850339966E+001, 0.0000000000000000E+000
 1.8238957023196376E+000, 1.8238957023196376E+000, 0.0000000000000000E+000,-3.8091716187279367E+001, 0.0000000000000000E+000
 1.8620871366628671E+000, 1.8620871366628671E+000, 0.0000000000000000E+000,-3.7904401820109975E+001, 0.0000000000000000E+000
 1.9010782799232997E+000, 1.9010782799232997E+000, 0.0000000000000000E+000,-3.7716795132802559E+001, 0.0000000000000000E+000
 1.9408858775927778E+000, 1.9408858775927778E+000, 0.0000000000000000E+000,-3.7528885164166553E+001, 0.0000000000000000E+000
 1.9815270258050979E+000, 1.9815270258050979E+000, 0.0000000000000000E+000,-3.7340660601172196E+001, 0.0000000000000000E+000
 2.0230191786782714E+000, 2.0230191786782714E+000, 0.0000000000000000E+000,-3.7152109772555569E+001, 0.0000000000000000E+000
 2.0653801558105291E+000, 2.0653801558105291E+000, 0.0000000000000000E+000,-3.6963220642733241E+001, 0.0000000000000000E+000
 2.1086281499332893E+000, 2.1086281499332893E+000, 0.0000000000000000E+000,-3.6773980806065360E+001, 0.0000000000000000E+000
 2.1527817347243725E+000, 2.1527817347243725E+000, 0.0000000000000000E+000,-3.6584377481555379E+001, 0.0000000000000000E+000
 2.1978598727848246E+000, 2.1978598727848246E+000, 0.0000000000000000E+000,-3.6394397508060038E+001, 0.0000000000000000E+000
 2.2438819237827659E+000, 2.2438819237827659E+000, 0.0000000000000000E+000,-3.6204027339946620E+001, 0.0000000000000000E+000
 2.2908676527677727E+000, 2.2908676527677727E+000, 0.0000000000000000E+000,-3.6013253043439555E+001, 0.0000000000000000E+000
 2.3388372386593543E+000, 2.3388372386593543E+000, 0.0000000000000000E+000,-3.5822060293491575E+001, 0.0000000000000000E+000
 2.3878112829131770E+000, 2.3878112829131770E+000, 0.0000000000000000E+000,-3.5630434371600636E+001, 0.0000000000000000E+000
 2.4378108183687517E+000, 2.4378108183687517E+000, 0.0000000000000000E+000,-3.5438360164199459E+001, 0.0000000000000000E+000
 2.4888573182823901E+000, 2.4888573182823901E+000, 0.0000000000000000E+000,-3.5245822162005254E+001, 0.0000000000000000E+000
 2.5409727055493043E+000, 2.5409727055493043E+000, 0.0000000000000000E+000,-3.5052804460421278E+001, 0.0000000000000000E+000
 2.5941793621188136E+000, 2.5941793621188136E+000, 0.0000000000000000E+000,-3.4859290760806836E+001, 0.0000000000000000E+000
 2.6485001386067002E+000, 2.6485001386067002E+000, 0.0000000000000000E+000,-3.4665264373029707E+001, 0.0000000000000000E+000
 2.7039583641088432E+000, 2.7039583641088432E+000, 0.0000000000000000E+000,-3.4470708219066552E+001, 0.0000000000000000E+000
 2.7605778562203453E+000, 2.7605778562203453E+000, 0.0000000000000000E+000,-3.4275604838065405E+001, 0.0000000000000000E+000
 2.8183829312644533E+000, 2.8183829312644533E+000, 0.0000000000000000E+000,-3.4079936392657771E+001, 0.0000000000000000E+000
 2.8773984147356684E+000, 2.8773984147356684E+000, 0.0000000000000000E+000,-3.3883684676885800E+001, 0.0000000000000000E+000
 2.9376496519615301E+000, 2.9376496519615301E+000, 0.0000000000000000E+000,-3.3686831125646094E+001, 0.0000000000000000E+000
 2.9991625189876503E+000, 2.9991625189876503E+000, 0.0000000000000000E+000,-3.3489356825772639E+001, 0.0000000000000000E+000
 3.0619634336906767E+000, 3.0619634336906767E+000, 0.0000000000000000E+000,-3.3291242529018362E+001, 0.0000000000000000E+000
 3.1260793671239542E+000, 3.1260793671239542E+000, 0.0000000000000000E+000,-3.3092468666810113E+001, 0.0000000000000000E+000
 3.1915378551007607E+000, 3.1915378551007607E+000, 0.0000000000000000E+000,-3.2893015367013312E+001, 0.0000000000000000E+000
 3.2583670100200868E+000, 3.2583670100200868E+000, 0.0000000000000000E+000,-3.2692862472762215E+001, 0.0000000000000000E+000
 3.3265955329400443E+000, 3.3265955329400443E+000, 0.0000000000000000E+000,-3.2491989563433499E+001, 0.0000000000000000E+000
 3.3962527259040831E+000, 3.3962527259040831E+000, 0.0000000000000000E+000,-3.2290375977905981E+001, 0.0000000000000000E+000
 3.4673685045253153E+000, 3.4673685045253153E+000, 0.0000000000000000E+000,-3.2088000840085670E+001, 0.0000000000000000E+000
 3.5399734108343459E+000, 3.5399734108343459E+000, 0.0000000000000000E+000,-3.1884843086845901E+001, 0.0000000000000000E+000
 3.6140986263961321E+000, 3.6140986263961321E+000, 0.0000000000000000E+000,-3.1680881498541581E+001, 0.0000000000000000E+000
 3.6897759857015022E+000, 3.6897759857015022E+000, 0.0000000000000000E+000,-3.1476094731921592E+001, 0.0000000000000000E+000
 3.7670379898390878E+000, 3.7670379898390878E+000, 0.0000000000000000E+000,-3.1270461355680112E+001, 0.0000000000000000E+000
 3.8459178204535349E+000, 3.8459178204535349E+000, 0.0000000000000000E+000,-3.1063959888707707E+001, 0.0000000000000000E+000
 3.9264493539959977E+000, 3.9264493539959977E+000, 0.0000000000000000E+000,-3.0856568840858152E+001, 0.0000000000000000E+000
 4.0086671762730273E+000, 4.0086671762730273E+000, 0.0000000000000000E+000,-3.0648266756599863E+001, 0.0000000000000000E+000
 4.0926065973001080E+000, 4.0926065973001080E+000, 0.0000000000000000E+000,-3.0439032261090887E+001, 0.0000000000000000E+000
 4.1783036664662170E+000, 4.1783036664662170E+000, 0.0000000000000000E+000,-3.0228844109142262E+001, 0.0000000000000000E+000
 4.2657951880159262E+000, 4.2657951880159262E+000, 0.0000000000000000E+000,-3.0017681236677038E+001, 0.0000000000000000E+000
 4.3551187368556850E+000, 4.3551187368556850E+000, 0.0000000000000000E+000,-2.9805522814828180E+001, 0.0000000000000000E+000
 4.4463126746910859E+000, 4.4463126746910859E+000, 0.0000000000000000E+000,-2.9592348306509443E+001, 0.0000000000000000E+000
 4.5394161665020309E+000, 4.5394161665020309E+000, 0.0000000000000000E+000,-2.9378137525421465E+001, 0.0000000000000000E+000
 4.6344691973628791E+000, 4.6344691973628791E+000, 0.0000000000000000E+000,-2.9162870697383578E+001, 0.0000000000000000E+000
 4.7315125896148036E+000, 4.7315125896148036E+000, 0.0000000000000000E+000,-2.8946528523731757E+001, 0.0000000000000000E+000
 4.8305880203977249E+000, 4.8305880203977249E+000, 0.0000000000000000E+000,-2.8729092246882153E+001, 0.0000000000000000E+000
 4.9317380395493569E+000, 4.9317380395493569E+000, 0.0000000000000000E+000,-2.8510543717544667E+001, 0.0000000000000000E+000
 5.0350060878790464E+000, 5.0350060878790464E+000, 0.0000000000000000E+000,-2.8290865463668919E+001, 0.0000000000000000E+000
 5.1404365158242591E+000, 5.1404365158242591E+000, 0.0000000000000000E+000,-2.8070040760675230E+001, 0.0000000000000000E+000
 5.2480746024977245E+000, 5.2480746024977245E+000, 0.0000000000000000E+000,-2.7848053702933669E+001, 0.0000000000000000E+000
 5.3579665751334149E+000, 5.3579665751334149E+000, 0.0000000000000000E+000,-2.7624889275918797E+001, 0.0000000000000000E+000
 5.4701596289397152E+000, 5.4701596289397152E+000, 0.0000000000000000E+000,-2.7400533429093592E+001, 0.0000000000000000E+000
 5.5847019473683073E+000, 5.5847019473683073E+000, 0.0000000000000000E+000,-2.7174973148841751E+001, 0.0000000000000000E+000
 5.7016427228074749E+000, 5.7016427228074749E+000, 0.0000000000000000E+000,-2.6948196531381541E+001, 0.0000000000000000E+000
 5.8210321777087142E+000, 5.8210321777087142E+000, 0.0000000000000000E+000,-2.6720192855277890E+001, 0.0000000000000000E+000
 5.9429215861557267E+000, 5.9429215861557267E+000, 0.0000000000000000E+000,-2.6490952652838281E+001, 0.0000000000000000E+000
 6.0673632958850545E+000, 6.0673632958850545E+000, 0.0000000000000000E+000,-2.6260467780607083E+001, 0.0000000000000000E+000
