
Label=dB(v(9)) vs F
LabelX=F
LabelY=dB(v(9))
Data Point Count=1001
F,F,F,dB(v(9)),dB(v(9))
 1.0000000000000000E+000, 1.0000000000000000E+000, 0.0000000000000000E+000, 1.2281280601370100E-001, 0.0000000000000000E+000
 1.0209394837076800E+000, 1.0209394837076800E+000, 0.0000000000000000E+000, 1.3373240531160496E-001, 0.0000000000000000E+000
 1.0423174293933042E+000, 1.0423174293933042E+000, 0.0000000000000000E+000, 1.4479088507167057E-001, 0.0000000000000000E+000
 1.0641430182243161E+000, 1.0641430182243161E+000, 0.0000000000000000E+000, 1.5600525504060767E-001, 0.0000000000000000E+000
 1.0864256236170655E+000, 1.0864256236170655E+000, 0.0000000000000000E+000, 1.6739270324063107E-001, 0.0000000000000000E+000
 1.1091748152624010E+000, 1.1091748152624010E+000, 0.0000000000000000E+000, 1.7897061392979363E-001, 0.0000000000000000E+000
 1.1324003632355570E+000, 1.1324003632355570E+000, 0.0000000000000000E+000, 1.9075658244802093E-001, 0.0000000000000000E+000
 1.1561122421920988E+000, 1.1561122421920988E+000, 0.0000000000000000E+000, 2.0276843334777633E-001, 0.0000000000000000E+000
 1.1803206356517297E+000, 1.1803206356517297E+000, 0.0000000000000000E+000, 2.1502423671862153E-001, 0.0000000000000000E+000
 1.2050359403717976E+000, 1.2050359403717976E+000, 0.0000000000000000E+000, 2.2754232344588274E-001, 0.0000000000000000E+000
 1.2302687708123816E+000, 1.2302687708123816E+000, 0.0000000000000000E+000, 2.4034130133749332E-001, 0.0000000000000000E+000
 1.2560299636948749E+000, 1.2560299636948749E+000, 0.0000000000000000E+000, 2.5344007018262232E-001, 0.0000000000000000E+000
 1.2823305826560216E+000, 1.2823305826560216E+000, 0.0000000000000000E+000, 2.6685783732991775E-001, 0.0000000000000000E+000
 1.3091819229994071E+000, 1.3091819229994071E+000, 0.0000000000000000E+000, 2.8061413059866097E-001, 0.0000000000000000E+000
