Frequency (Hz),Trace 1 (dBV)
0,-41.232377521092054
24.4140625,-41.487593983789893
48.828125,-44.823722019895122
73.2421875,-54.490604300792953
97.65625,-67.555784990783636
122.0703125,-69.306347481957488
146.484375,-70.723091925454256
170.8984375,-71.505871463522254
195.3125,-70.708156230061292
219.7265625,-71.878049425557577
244.140625,-71.322842675817967
268.5546875,-72.564484631937859
292.96875,-77.850344805527072
317.3828125,-77.351571671676652
341.796875,-73.151820972206281
366.2109375,-70.426532614646547
390.625,-67.029114963803508
415.0390625,-67.852325635950564
439.453125,-71.220713513788652
463.8671875,-71.230757106913984
488.28125,-69.284344665388758
512.6953125,-65.597006555610335
537.109375,-65.602220266797545
561.5234375,-68.55403788728816
585.9375,-69.476444634588248
610.3515625,-67.614241284513014
634.765625,-68.998188458259889
659.1796875,-73.094921734772839
683.59375,-76.944476975016002
708.0078125,-73.786351949458478
732.421875,-74.254078448302693
756.8359375,-75.157455303655809
781.25,-71.152372884097559
805.6640625,-69.660584023605381
830.078125,-71.653164065585685
854.4921875,-73.571188387085485
878.90625,-71.982243556721301
903.3203125,-73.489527796889561
927.734375,-72.182875022452578
952.1484375,-73.275833956404909
976.5625,-78.880669833286973
1000.9765625,-78.990861449047927
1025.390625,-72.520196698468979
1049.8046875,-70.135771492460094
1074.21875,-68.976544175460674
1098.6328125,-70.119469584753176
1123.046875,-71.241577835243518
1147.4609375,-72.670694614076567
1171.875,-74.50833777407729
1196.2890625,-71.48734534546054
1220.703125,-66.807795069584472
1245.1171875,-64.061495245872194
1269.53125,-62.659977268621738
1293.9453125,-62.200647986744428
1318.359375,-62.739143964544425
1342.7734375,-64.758759062863973
1367.1875,-66.536002316140866
1391.6015625,-65.962036051099659
1416.015625,-65.946079564403647
1440.4296875,-66.202618575654498
1464.84375,-66.116060589391282
1489.2578125,-68.831571470765525
1513.671875,-78.792162046269368
1538.0859375,-81.340112872151252
1562.5,-70.924516735771903
1586.9140625,-67.177595554724576
1611.328125,-66.52693463139741
1635.7421875,-67.695849961433765
1660.15625,-70.66552809631969
1684.5703125,-73.007102318603913
1708.984375,-72.825732846599777
1733.3984375,-72.470531730113635
1757.8125,-73.082778684271631
1782.2265625,-75.786787704722485
1806.640625,-76.032977023133668
1831.0546875,-73.274941619752127
1855.46875,-70.888462192118908
1879.8828125,-72.268179177827179
1904.296875,-74.873704704745549
1928.7109375,-76.426436312494573
1953.125,-75.319120758411586
1977.5390625,-73.886953502982621
2001.953125,-74.397764109068817
2026.3671875,-75.584150675904951
2050.78125,-75.639953022028919
2075.1953125,-72.615774187809009
2099.609375,-70.121121473726646
2124.0234375,-71.107897629096939
2148.4375,-72.934903507852923
2172.8515625,-77.430967433240724
2197.265625,-85.384039897623694
2221.6796875,-85.961238201660109
2246.09375,-81.803161096451916
2270.5078125,-72.949254761449268
2294.921875,-70.270432804725587
2319.3359375,-69.637233055444725
2343.75,-70.732562792769173
2368.1640625,-75.584968435713677
2392.578125,-78.598872012710672
2416.9921875,-72.71930270374493
2441.40625,-70.227580434642945
2465.8203125,-70.383430883050082
2490.234375,-70.169208460478359
2514.6484375,-69.722118988564802
2539.0625,-71.132600749183183
2563.4765625,-71.255166371445739
2587.890625,-70.587527782321729
2612.3046875,-72.614375408015832
2636.71875,-81.255000510835544
2661.1328125,-78.778143778053064
2685.546875,-73.745749497302057
2709.9609375,-71.410044706705762
2734.375,-69.824512485214441
2758.7890625,-69.526333176875838
2783.203125,-68.644676070447019
2807.6171875,-66.713088440526207
2832.03125,-65.234316039563765
2856.4453125,-65.157258012301071
2880.859375,-66.322636977755195
2905.2734375,-67.607517642528904
2929.6875,-70.724350007965015
2954.1015625,-81.474845194632167
2978.515625,-75.105682883597268
3002.9296875,-68.742540244534624
3027.34375,-65.262061641055965
3051.7578125,-64.927009777632378
3076.171875,-67.697187057114036
3100.5859375,-71.366302784925537
3125,-72.550136282755048
3149.4140625,-71.470301186900514
3173.828125,-70.712394568524829
3198.2421875,-70.767801321179533
3222.65625,-71.370196058269798
3247.0703125,-74.508765798320383
3271.484375,-88.70352698366932
3295.8984375,-78.917385496283828
