DrainI(1),DrainV(1),GateV(1),DrainI(2),DrainV(2),GateV(2),DrainI(3),DrainV(3),GateV(3),DrainI(4),DrainV(4),GateV(4),DrainI(5),DrainV(5),GateV(5),DrainI(6),DrainV(6),GateV(6),DrainI(7),DrainV(7),GateV(7),DrainI(8),DrainV(8),GateV(8),DrainI(9),DrainV(9),GateV(9),DrainI(10),DrainV(10),GateV(10),DrainI(11),DrainV(11),GateV(11)
-167.7825E-15,0.0000E+0,0.0000E+0,-70.7249E-12,0.0000E+0,500.0000E-3,-1.1680E-9,0.0000E+0,1.0000E+0,-94.7492E-9,0.0000E+0,1.5000E+0,1.3143E-6,0.0000E+0,2.0000E+0,2.6586E-6,0.0000E+0,2.5000E+0,3.6049E-6,0.0000E+0,3.0000E+0,4.3094E-6,0.0000E+0,3.5000E+0,4.8407E-6,0.0000E+0,4.0000E+0,3.4218E-6,0.0000E+0,4.5000E+0,4.4779E-6,0.0000E+0,5.0000E+0
125.9461E-12,50.0000E-3,0.0000E+0,-54.8154E-12,50.0000E-3,500.0000E-3,16.8401E-9,50.0000E-3,1.0000E+0,11.1754E-6,50.0000E-3,1.5000E+0,55.2250E-6,50.0000E-3,2.0000E+0,94.5235E-6,50.0000E-3,2.5000E+0,127.5208E-6,50.0000E-3,3.0000E+0,156.0718E-6,50.0000E-3,3.5000E+0,181.2640E-6,50.0000E-3,4.0000E+0,203.9330E-6,50.0000E-3,4.5000E+0,224.4648E-6,50.0000E-3,5.0000E+0
704.8617E-12,100.0000E-3,0.0000E+0,-55.4720E-12,100.0000E-3,500.0000E-3,19.5799E-9,100.0000E-3,1.0000E+0,16.0670E-6,100.0000E-3,1.5000E+0,101.2599E-6,100.0000E-3,2.0000E+0,181.2242E-6,100.0000E-3,2.5000E+0,248.4966E-6,100.0000E-3,3.0000E+0,306.4028E-6,100.0000E-3,3.5000E+0,357.4325E-6,100.0000E-3,4.0000E+0,403.2296E-6,100.0000E-3,4.5000E+0,444.7243E-6,100.0000E-3,5.0000E+0
1.6797E-9,150.0000E-3,0.0000E+0,-52.7952E-12,150.0000E-3,500.0000E-3,20.0378E-9,150.0000E-3,1.0000E+0,17.7582E-6,150.0000E-3,1.5000E+0,138.3122E-6,150.0000E-3,2.0000E+0,260.1789E-6,150.0000E-3,2.5000E+0,362.7686E-6,150.0000E-3,3.0000E+0,450.8584E-6,150.0000E-3,3.5000E+0,528.0862E-6,150.0000E-3,4.0000E+0,597.5129E-6,150.0000E-3,4.5000E+0,660.3654E-6,150.0000E-3,5.0000E+0
2.0372E-9,200.0000E-3,0.0000E+0,-56.2801E-12,200.0000E-3,500.0000E-3,20.1536E-9,200.0000E-3,1.0000E+0,18.3066E-6,200.0000E-3,1.5000E+0,166.7213E-6,200.0000E-3,2.0000E+0,331.2707E-6,200.0000E-3,2.5000E+0,470.2528E-6,200.0000E-3,3.0000E+0,589.1020E-6,200.0000E-3,3.5000E+0,693.7064E-6,200.0000E-3,4.0000E+0,787.2844E-6,200.0000E-3,4.5000E+0,871.9062E-6,200.0000E-3,5.0000E+0
2.0561E-9,250.0000E-3,0.0000E+0,-46.9870E-12,250.0000E-3,500.0000E-3,20.2174E-9,250.0000E-3,1.0000E+0,18.5194E-6,250.0000E-3,1.5000E+0,187.2687E-6,250.0000E-3,2.0000E+0,394.4915E-6,250.0000E-3,2.5000E+0,570.7169E-6,250.0000E-3,3.0000E+0,721.7299E-6,250.0000E-3,3.5000E+0,854.0900E-6,250.0000E-3,4.0000E+0,972.3394E-6,250.0000E-3,4.5000E+0,1.0791E-3,250.0000E-3,5.0000E+0
1.9687E-9,300.0000E-3,0.0000E+0,-46.9870E-12,300.0000E-3,500.0000E-3,20.2502E-9,300.0000E-3,1.0000E+0,18.6358E-6,300.0000E-3,1.5000E+0,201.1587E-6,300.0000E-3,2.0000E+0,449.8626E-6,300.0000E-3,2.5000E+0,664.4927E-6,300.0000E-3,3.0000E+0,848.2370E-6,300.0000E-3,3.5000E+0,1.0090E-3,300.0000E-3,4.0000E+0,1.1525E-3,300.0000E-3,4.5000E+0,1.2818E-3,300.0000E-3,5.0000E+0
1.8744E-9,350.0000E-3,0.0000E+0,-37.4413E-12,350.0000E-3,500.0000E-3,20.2931E-9,350.0000E-3,1.0000E+0,18.7135E-6,350.0000E-3,1.5000E+0,209.9251E-6,350.0000E-3,2.0000E+0,497.4601E-6,350.0000E-3,2.5000E+0,751.2572E-6,350.0000E-3,3.0000E+0,968.5348E-6,350.0000E-3,3.5000E+0,1.1584E-3,350.0000E-3,4.0000E+0,1.3275E-3,350.0000E-3,4.5000E+0,1.4800E-3,350.0000E-3,5.0000E+0
1.8047E-9,400.0000E-3,0.0000E+0,-45.8759E-12,400.0000E-3,500.0000E-3,20.3258E-9,400.0000E-3,1.0000E+0,18.7729E-6,400.0000E-3,1.5000E+0,215.2499E-6,400.0000E-3,2.0000E+0,537.3724E-6,400.0000E-3,2.5000E+0,831.0723E-6,400.0000E-3,3.0000E+0,1.0827E-3,400.0000E-3,3.5000E+0,1.3023E-3,400.0000E-3,4.0000E+0,1.4977E-3,400.0000E-3,4.5000E+0,1.6736E-3,400.0000E-3,5.0000E+0
1.7165E-9,450.0000E-3,0.0000E+0,-44.0576E-12,450.0000E-3,500.0000E-3,20.3563E-9,450.0000E-3,1.0000E+0,18.8253E-6,450.0000E-3,1.5000E+0,218.5131E-6,450.0000E-3,2.0000E+0,570.3373E-6,450.0000E-3,2.5000E+0,903.9611E-6,450.0000E-3,3.0000E+0,1.1907E-3,450.0000E-3,3.5000E+0,1.4408E-3,450.0000E-3,4.0000E+0,1.6629E-3,450.0000E-3,4.5000E+0,1.8628E-3,450.0000E-3,5.0000E+0
