DrainI,GateV,GM,IDLIN,VT
-1.8800E-6,-166.2820E-6,0,-128.5042E-6,1.4072E+0
-1.8649E-6,49.8901E-3,302.6295E-9,-123.9338E-6,
-1.8649E-6,99.6360E-3,0.0000E+0,-119.3917E-6,
-1.8699E-6,149.7315E-3,-100.7978E-9,-114.8177E-6,
-1.9002E-6,199.7909E-3,-605.2226E-9,-110.2470E-6,
-1.9406E-6,249.8693E-3,-806.6569E-9,-105.6745E-6,
-1.8699E-6,299.5982E-3,1.4216E-6,-101.1340E-6,
-1.8750E-6,349.6646E-3,-100.8563E-9,-96.5626E-6,
-1.9154E-6,399.7320E-3,-806.8343E-9,-91.9912E-6,
-1.8851E-6,449.8114E-3,604.9806E-9,-87.4186E-6,
-1.9103E-6,499.5754E-3,-507.2736E-9,-82.8749E-6,
-1.9103E-6,549.6328E-3,0.0000E+0,-78.3043E-6,
-1.8851E-6,599.7102E-3,504.0980E-9,-73.7320E-6,
-1.8396E-6,649.6584E-3,909.8550E-9,-69.1714E-6,
-1.8851E-6,699.4013E-3,-913.6108E-9,-64.6296E-6,
-1.8447E-6,749.5018E-3,806.3025E-9,-60.0551E-6,
-1.8245E-6,799.5542E-3,403.5377E-9,-55.4850E-6,
-1.8245E-6,849.6326E-3,0.0000E+0,-50.9126E-6,
-1.8447E-6,899.3574E-3,-406.1967E-9,-46.3724E-6,
-1.8649E-6,949.4469E-3,-403.2395E-9,-41.7989E-6,
-1.8245E-6,999.5374E-3,806.4628E-9,-37.2254E-6,
-1.7740E-6,1.0496E+0,1.0085E-6,-32.6542E-6,
-1.7689E-6,1.0993E+0,101.5022E-9,-28.1119E-6,
-1.7134E-6,1.1494E+0,1.1098E-6,-23.5419E-6,
-1.4609E-6,1.1995E+0,5.0409E-6,-18.9689E-6,
-961.0121E-9,1.2496E+0,9.9836E-6,-14.3971E-6,
-269.2395E-9,1.2993E+0,13.9042E-6,-9.8543E-6,
1.0790E-6,1.3494E+0,26.8975E-6,-5.2778E-6,
3.1947E-6,1.3995E+0,42.2311E-6,-703.4853E-9,
5.9820E-6,1.4496E+0,55.6341E-6,3.8710E-6,
9.4055E-6,1.4994E+0,68.8213E-6,8.4130E-6,
